NS 50
ROOT 3438
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 8527
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 2961
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 5672
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 4351
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 6561
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 2527
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 5228
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 1828
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 5440
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 1884
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 2917
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 8983
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 3440
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 3484
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 8727
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 7416
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 3672
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 5672
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 2573
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 1238
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 5416
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 1450
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 2949
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 1272
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 6917
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 7440
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 7040
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 8783
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 3238
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 8549
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 2383
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 8573
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 6717
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 6561
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 3272
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 4561
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 2161
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 7684
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 8949
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 7416
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 6717
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 1272
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 7040
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 6917
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 4717
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 1216
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 7684
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 8749
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
ROOT 4117
UHF -6,+9,-9,+4
LHF -2,+2,-3,+7
PHF -8,+3,-9,+7
