NS1 VALID
CN0 4825, LN0 8849, HN0 3074
CN1 4823, LN1 8847, HN1 3072
CN2 4821, LN2 8845, HN2 3070
CN3 4829, LN3 8843, HN3 3078
CN4 4827, LN4 8841, HN4 3076
CN5 4825, LN5 8849, HN5 3074
CN6 4823, LN6 8847, HN6 3072
CN7 4821, LN7 8845, HN7 3070
CN8 4829, LN8 8843, HN8 3078
CN9 4827, LN9 8841, HN9 3076
CN10 4825, LN10 8849, HN10 3074
CN11 4823, LN11 8847, HN11 3072
CN12 4821, LN12 8845, HN12 3070
CN13 4829, LN13 8843, HN13 3078
CN14 4827, LN14 8841, HN14 3076
CN15 4825, LN15 8849, HN15 3074
CN16 4823, LN16 8847, HN16 3072
CN17 4821, LN17 8845, HN17 3070
CN18 4829, LN18 8843, HN18 3078
CN19 4827, LN19 8841, HN19 3076
CN20 4825, LN20 8849, HN20 3074
CN21 4823, LN21 8847, HN21 3072
CN22 4821, LN22 8845, HN22 3070
CN23 4829, LN23 8843, HN23 3078
CN24 4827, LN24 8841, HN24 3076
CN25 4825, LN25 8849, HN25 3074
CN26 4823, LN26 8847, HN26 3072
CN27 4821, LN27 8845, HN27 3070
CN28 4829, LN28 8843, HN28 3078
CN29 4827, LN29 8841, HN29 3076
CN30 4825, LN30 8849, HN30 3074
CN31 4823, LN31 8847, HN31 3072
CN32 4821, LN32 8845, HN32 3070
CN33 4829, LN33 8843, HN33 3078
CN34 4827, LN34 8841, HN34 3076
CN35 4825, LN35 8849, HN35 3074
CN36 4823, LN36 8847, HN36 3072
CN37 4821, LN37 8845, HN37 3070
CN38 4829, LN38 8843, HN38 3078
CN39 4827, LN39 8841, HN39 3076
CN40 4825, LN40 8849, HN40 3074
CN41 4823, LN41 8847, HN41 3072
CN42 4821, LN42 8845, HN42 3070
CN43 4829, LN43 8843, HN43 3078
CN44 4827, LN44 8841, HN44 3076
CN45 4825, LN45 8849, HN45 3074
CN46 4823, LN46 8847, HN46 3072
CN47 4821, LN47 8845, HN47 3070
CN48 4829, LN48 8843, HN48 3078
CN49 4827, LN49 8841, HN49 3076
CN50 4825, LN50 8849, HN50 3074
CN51 4823, LN51 8847, HN51 3072
CN52 4821, LN52 8845, HN52 3070
CN53 4829, LN53 8843, HN53 3078
CN54 4827, LN54 8841, HN54 3076
CN55 4825, LN55 8849, HN55 3074
CN56 4823, LN56 8847, HN56 3072
CN57 4821, LN57 8845, HN57 3070
CN58 4829, LN58 8843, HN58 3078
CN59 4827, LN59 8841, HN59 3076
CN60 4825, LN60 8849, HN60 3074
CN61 4823, LN61 8847, HN61 3072
CN62 4821, LN62 8845, HN62 3070
CN63 4829, LN63 8843, HN63 3078
CN64 4827, LN64 8841, HN64 3076
CN65 4825, LN65 8849, HN65 3074
CN66 4823, LN66 8847, HN66 3072
CN67 4821, LN67 8845, HN67 3070
CN68 4829, LN68 8843, HN68 3078
CN69 4827, LN69 8841, HN69 3076
CN70 4825, LN70 8849, HN70 3074
CN71 4823, LN71 8847, HN71 3072
CN72 4821, LN72 8845, HN72 3070
CN73 4829, LN73 8843, HN73 3078
CN74 4827, LN74 8841, HN74 3076
CN75 4825, LN75 8849, HN75 3074
CN76 4823, LN76 8847, HN76 3072
CN77 4821, LN77 8845, HN77 3070
CN78 4829, LN78 8843, HN78 3078
CN79 4827, LN79 8841, HN79 3076
CN80 4825, LN80 8849, HN80 3074
CN81 4823, LN81 8847, HN81 3072
CN82 4821, LN82 8845, HN82 3070
CN83 4829, LN83 8843, HN83 3078
CN84 4827, LN84 8841, HN84 3076
CN85 4825, LN85 8849, HN85 3074
CN86 4823, LN86 8847, HN86 3072
CN87 4821, LN87 8845, HN87 3070
CN88 4829, LN88 8843, HN88 3078
CN89 4827, LN89 8841, HN89 3076
CN90 4825, LN90 8849, HN90 3074
CN91 4823, LN91 8847, HN91 3072
CN92 4821, LN92 8845, HN92 3070
CN93 4829, LN93 8843, HN93 3078
CN94 4827, LN94 8841, HN94 3076
CN95 4825, LN95 8849, HN95 3074
CN96 4823, LN96 8847, HN96 3072
CN97 4821, LN97 8845, HN97 3070
CN98 4829, LN98 8843, HN98 3078
CN99 4827, LN99 8841, HN99 3076

