NS 10
ROOT 6444
UHF -8,+8,-3,+6
LHF -3,+9,-6,+3
PHF -6,+6,-2,+4
ROOT 3155
UHF -8,+8,-3,+6
LHF -3,+9,-6,+3
PHF -6,+6,-2,+4
ROOT 3915
UHF -8,+8,-3,+6
LHF -3,+9,-6,+3
PHF -6,+6,-2,+4
ROOT 8646
UHF -8,+8,-3,+6
LHF -3,+9,-6,+3
PHF -6,+6,-2,+4
ROOT 1919
UHF -8,+8,-3,+6
LHF -3,+9,-6,+3
PHF -6,+6,-2,+4
ROOT 2824
UHF -8,+8,-3,+6
LHF -3,+9,-6,+3
PHF -6,+6,-2,+4
ROOT 1753
UHF -8,+8,-3,+6
LHF -3,+9,-6,+3
PHF -6,+6,-2,+4
ROOT 3115
UHF -8,+8,-3,+6
LHF -3,+9,-6,+3
PHF -6,+6,-2,+4
ROOT 4046
UHF -8,+8,-3,+6
LHF -3,+9,-6,+3
PHF -6,+6,-2,+4
ROOT 1715
UHF -8,+8,-3,+6
LHF -3,+9,-6,+3
PHF -6,+6,-2,+4
