NS10000 VALID
CN0 7386, LN0 0256, HN0 8014
CN1 9861, LN1 2731, HN1 0599
CN2 1346, LN2 4216, HN2 2074
CN3 3821, LN3 6791, HN3 4559
CN4 5306, LN4 8276, HN4 6034

CN0 5067, LN0 8937, HN0 6795
CN1 7542, LN1 0412, HN1 8270
CN2 9027, LN2 2997, HN2 0755
CN3 1502, LN3 4472, HN3 2230
CN4 3087, LN4 6957, HN4 4715

CN0 5461, LN0 8331, HN0 6199
CN1 7946, LN1 0816, HN1 8674
CN2 9421, LN2 2391, HN2 0159
CN3 1906, LN3 4876, HN3 2634
CN4 3481, LN4 6351, HN4 4119

CN0 3685, LN0 6555, HN0 4313
CN1 5160, LN1 8030, HN1 6898
CN2 7645, LN2 0515, HN2 8373
CN3 9120, LN3 2090, HN3 0858
CN4 1605, LN4 4575, HN4 2333

CN0 9461, LN0 2331, HN0 0199
CN1 1946, LN1 4816, HN1 2674
CN2 3421, LN2 6391, HN2 4159
CN3 5906, LN3 8876, HN3 6634
CN4 7481, LN4 0351, HN4 8119

CN0 2731, LN0 5601, HN0 3469
CN1 4216, LN1 7186, HN1 5944
CN2 6791, LN2 9661, HN2 7429
CN3 8276, LN3 1146, HN3 9904
CN4 0751, LN4 3621, HN4 1489

CN0 7983, LN0 0853, HN0 8611
CN1 9468, LN1 2338, HN1 0196
CN2 1943, LN2 4813, HN2 2671
CN3 3428, LN3 6398, HN3 4156
CN4 5903, LN4 8873, HN4 6631

CN0 2518, LN0 5488, HN0 3246
CN1 4093, LN1 7963, HN1 5721
CN2 6578, LN2 9448, HN2 7206
CN3 8053, LN3 1923, HN3 9781
CN4 0538, LN4 3408, HN4 1266

CN0 4396, LN0 7266, HN0 5024
CN1 6871, LN1 9741, HN1 7509
CN2 8356, LN2 1226, HN2 9084
CN3 0831, LN3 3701, HN3 1569
CN4 2316, LN4 5286, HN4 3044

CN0 2834, LN0 5704, HN0 3562
CN1 4319, LN1 7289, HN1 5047
CN2 6894, LN2 9764, HN2 7522
CN3 8379, LN3 1249, HN3 9007
CN4 0854, LN4 3724, HN4 1582

CN0 8097, LN0 1967, HN0 9725
CN1 0572, LN1 3442, HN1 1200
CN2 2057, LN2 5927, HN2 3785
CN3 4532, LN3 7402, HN3 5260
CN4 6017, LN4 9987, HN4 7745

CN0 8097, LN0 1967, HN0 9725
CN1 0572, LN1 3442, HN1 1200
CN2 2057, LN2 5927, HN2 3785
CN3 4532, LN3 7402, HN3 5260
CN4 6017, LN4 9987, HN4 7745

CN0 9461, LN0 2331, HN0 0199
CN1 1946, LN1 4816, HN1 2674
CN2 3421, LN2 6391, HN2 4159
CN3 5906, LN3 8876, HN3 6634
CN4 7481, LN4 0351, HN4 8119

CN0 2174, LN0 5044, HN0 3802
CN1 4659, LN1 7529, HN1 5387
CN2 6134, LN2 9004, HN2 7862
CN3 8619, LN3 1589, HN3 9347
CN4 0194, LN4 3064, HN4 1822

CN0 9401, LN0 2371, HN0 0139
CN1 1986, LN1 4856, HN1 2614
CN2 3461, LN2 6331, HN2 4199
CN3 5946, LN3 8816, HN3 6674
CN4 7421, LN4 0391, HN4 8159

CN0 7289, LN0 0159, HN0 8917
CN1 9764, LN1 2634, HN1 0492
CN2 1249, LN2 4119, HN2 2977
CN3 3724, LN3 6694, HN3 4452
CN4 5209, LN4 8179, HN4 6937

CN0 7689, LN0 0559, HN0 8317
CN1 9164, LN1 2034, HN1 0892
CN2 1649, LN2 4519, HN2 2377
CN3 3124, LN3 6094, HN3 4852
CN4 5609, LN4 8579, HN4 6337

CN0 2734, LN0 5604, HN0 3462
CN1 4219, LN1 7189, HN1 5947
CN2 6794, LN2 9664, HN2 7422
CN3 8279, LN3 1149, HN3 9907
CN4 0754, LN4 3624, HN4 1482

CN0 5461, LN0 8331, HN0 6199
CN1 7946, LN1 0816, HN1 8674
CN2 9421, LN2 2391, HN2 0159
CN3 1906, LN3 4876, HN3 2634
CN4 3481, LN4 6351, HN4 4119

CN0 6571, LN0 9441, HN0 7209
CN1 8056, LN1 1926, HN1 9784
CN2 0531, LN2 3401, HN2 1269
CN3 2016, LN3 5986, HN3 3744
CN4 4591, LN4 7461, HN4 5229

CN0 9285, LN0 2155, HN0 0913
CN1 1760, LN1 4630, HN1 2498
CN2 3245, LN2 6115, HN2 4973
