NS 10000
ROOT 6539
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 4210
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 4614
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 2838
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 8614
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1984
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 6136
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1761
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 3549
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1087
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 7240
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 7240
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 8614
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1327
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 8654
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 6432
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 6832
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1987
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 4614
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 5724
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 8438
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 5721
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 5725
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 3169
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 3246
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 3846
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 5028
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 4654
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 5765
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 3246
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 6216
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 5165
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 6579
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1024
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 7983
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 7680
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 5462
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 3983
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 2439
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 5424
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 6276
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 4210
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 4313
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 7543
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 6179
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 7640
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 4350
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 5165
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 4210
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 4210
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
