NS50 VALID
CN0 7342, LN0 5519, HN0 7826
CN1 1730, LN1 9907, HN1 1214
CN2 5128, LN2 3395, HN2 5602
CN3 9516, LN3 7783, HN3 9090
CN4 3904, LN4 1171, HN4 3488
CN5 7392, LN5 5569, HN5 7876
CN6 1780, LN6 9957, HN6 1264
CN7 5178, LN7 3345, HN7 5652

CN0 2431, LN0 0608, HN0 2915
CN1 6829, LN1 4096, HN1 6303
CN2 0217, LN2 8484, HN2 0791
CN3 4605, LN3 2872, HN3 4189
CN4 8093, LN4 6260, HN4 8577
CN5 2481, LN5 0658, HN5 2965
CN6 6879, LN6 4046, HN6 6353
CN7 0267, LN7 8434, HN7 0741

CN0 6875, LN0 4042, HN0 6359
CN1 0263, LN1 8430, HN1 0747
CN2 4651, LN2 2828, HN2 4135
CN3 8049, LN3 6216, HN3 8523
CN4 2437, LN4 0604, HN4 2911
CN5 6825, LN5 4092, HN5 6309
CN6 0213, LN6 8480, HN6 0797
CN7 4601, LN7 2878, HN7 4185

CN0 9586, LN0 7753, HN0 9060
CN1 3974, LN1 1141, HN1 3458
CN2 7362, LN2 5539, HN2 7846
CN3 1750, LN3 9927, HN3 1234
CN4 5148, LN4 3315, HN4 5622
CN5 9536, LN5 7703, HN5 9010
CN6 3924, LN6 1191, HN6 3408
CN7 7312, LN7 5589, HN7 7896

CN0 8265, LN0 6432, HN0 8749
CN1 2653, LN1 0820, HN1 2137
CN2 6041, LN2 4218, HN2 6525
CN3 0439, LN3 8606, HN3 0913
CN4 4827, LN4 2094, HN4 4301
CN5 8215, LN5 6482, HN5 8799
CN6 2603, LN6 0870, HN6 2187
CN7 6091, LN7 4268, HN7 6575

CN0 0475, LN0 8642, HN0 0959
CN1 4863, LN1 2030, HN1 4347
CN2 8251, LN2 6428, HN2 8735
CN3 2649, LN3 0816, HN3 2123
CN4 6037, LN4 4204, HN4 6511
CN5 0425, LN5 8692, HN5 0909
CN6 4813, LN6 2080, HN6 4397
CN7 8201, LN7 6478, HN7 8785

CN0 6431, LN0 4608, HN0 6915
CN1 0829, LN1 8096, HN1 0303
CN2 4217, LN2 2484, HN2 4791
CN3 8605, LN3 6872, HN3 8189
CN4 2093, LN4 0260, HN4 2577
CN5 6481, LN5 4658, HN5 6965
CN6 0879, LN6 8046, HN6 0353
CN7 4267, LN7 2434, HN7 4741

CN0 9132, LN0 7309, HN0 9616
CN1 3520, LN1 1797, HN1 3004
CN2 7918, LN2 5185, HN2 7492
CN3 1306, LN3 9573, HN3 1880
CN4 5794, LN4 3961, HN4 5278
CN5 9182, LN5 7359, HN5 9666
CN6 3570, LN6 1747, HN6 3054
CN7 7968, LN7 5135, HN7 7442

CN0 5732, LN0 3909, HN0 5216
CN1 9120, LN1 7397, HN1 9604
CN2 3518, LN2 1785, HN2 3092
